caseId,activity,timestamp,
0,Activity A,7/2/2018 17:19,
0,Activity C,7/2/2018 17:21,
0,Activity E,7/2/2018 17:22,
0,Activity D,7/2/2018 17:23,
0,Activity G,7/2/2018 17:24,
0,Activity H,7/2/2018 17:25,
0,Activity B,7/2/2018 17:27,
1,Activity A,7/2/2018 17:20,
1,Activity C,7/2/2018 17:22,
1,Activity H,7/2/2018 17:23,
1,Activity E,7/2/2018 17:24,
1,Activity D,7/2/2018 17:25,
1,Activity G,7/2/2018 17:26,
1,Activity B,7/2/2018 17:28,
2,Activity A,7/2/2018 17:21,
2,Activity C,7/2/2018 17:23,
2,Activity H,7/2/2018 17:24,
2,Activity E,7/2/2018 17:25,
2,Activity F,7/2/2018 17:26,
2,Activity E,7/2/2018 17:27,
2,Activity F,7/2/2018 17:28,
2,Activity E,7/2/2018 17:29,
2,Activity D,7/2/2018 17:30,
2,Activity G,7/2/2018 17:31,
2,Activity B,7/2/2018 17:33,
3,Activity A,7/2/2018 17:21,
3,Activity C,7/2/2018 17:23,
3,Activity E,7/2/2018 17:24,
3,Activity F,7/2/2018 17:25,
3,Activity E,7/2/2018 17:26,
3,Activity F,7/2/2018 17:27,
3,Activity E,7/2/2018 17:28,
3,Activity D,7/2/2018 17:29,
3,Activity H,7/2/2018 17:30,
3,Activity G,7/2/2018 17:31,
3,Activity B,7/2/2018 17:33,
4,Activity A,7/2/2018 17:22,
4,Activity H,7/2/2018 17:24,
4,Activity C,7/2/2018 17:25,
4,Activity E,7/2/2018 17:26,
4,Activity D,7/2/2018 17:27,
4,Activity G,7/2/2018 17:28,
4,Activity B,7/2/2018 17:30,
5,Activity A,7/2/2018 17:23,
5,Activity H,7/2/2018 17:25,
5,Activity C,7/2/2018 17:26,
5,Activity E,7/2/2018 17:27,
5,Activity F,7/2/2018 17:28,
5,Activity E,7/2/2018 17:29,
5,Activity D,7/2/2018 17:30,
5,Activity G,7/2/2018 17:31,
5,Activity B,7/2/2018 17:33,
6,Activity A,7/2/2018 17:24,
6,Activity C,7/2/2018 17:26,
6,Activity E,7/2/2018 17:27,
6,Activity D,7/2/2018 17:28,
6,Activity G,7/2/2018 17:29,
6,Activity H,7/2/2018 17:30,
6,Activity B,7/2/2018 17:32,
